commit,old_sign,new_sign
7470cf0a851cd09cc817bdc001e7ce4ecc103598diff,"static void doMoveFile(File src, File dest)","static void doMoveFile(File src, File dest, FileUtilParams params)"
7470cf0a851cd09cc817bdc001e7ce4ecc103598diff,static void cleanDir(File dest),"static void cleanDir(File dest, FileUtilParams params)"
7470cf0a851cd09cc817bdc001e7ce4ecc103598diff,"static void copy(File src, File dest)","static void copy(File src, File dest, FileUtilParams params)"
7470cf0a851cd09cc817bdc001e7ce4ecc103598diff,"static void move(File src, File dest)","static void move(File src, File dest, FileUtilParams params)"
7470cf0a851cd09cc817bdc001e7ce4ecc103598diff,static void delete(File dest),"static void delete(File dest, FileUtilParams params)"
25fe23aa26ba958897c464f8ca7e3ec2fd3a7352diff,        void testCompareWithInputStreams_ExpectedSuccessfulCompare(),        void testCompareWithInputStreams_ExpectedSuccessfulCompare(TestInfo testInfo)
25fe23aa26ba958897c464f8ca7e3ec2fd3a7352diff,        void testCompareWithInputStreams_ExpectedNoSuccessfulCompare(),        void testCompareWithInputStreams_ExpectedNoSuccessfulCompare(TestInfo testInfo)
25fe23aa26ba958897c464f8ca7e3ec2fd3a7352diff,"            void testReadChars_InputStream_CharCount_0(char[] expected, String text, int charCount )","            void testReadChars_InputStream_CharCount_0(char[] expected, String text, int charCount, TestInfo testInfo )"
f0fa2ed944f8eb332bfa76d78290c2b1212ab829diff,protected void outjectAfterMove(ActionRequest sourceRequest),"protected void outjectAfterMove(ServletRequest targetServletRequest, ActionRequest sourceRequest)"
015b1de703cf25a8e2b93965721ef5c80020e439diff,private void test(),private void test(final boolean debug)
a1859d76ce0ea80d71db2be05521dfb96bf0a9f0diff,"            return newHandleItem(h.tag, h.owner, h.name, h.desc)","            return newHandleItem(h.tag, h.owner, h.name, h.desc, h.itf)"
a1859d76ce0ea80d71db2be05521dfb96bf0a9f0diff,"        return newHandleItem(tag, owner, name, desc)","        return newHandleItem(tag, owner, name, desc, itf)"
7789caddb8a0b976760ff1d5cc7d74270215c06fdiff,"public void addAttachment(String filename, String mimeType, String contentId, byte[] content)","public void addAttachment(String filename, String mimeType, String contentId, boolean inline, byte[] content)"
ef27e2f917c2566f527baabb3373dbad2ce8e9f7diff,"public void addAttachment(String filename, String mimeType, String contentId, byte[] content)","public void addAttachment(String filename, String mimeType, String contentId, boolean inline, byte[] content)"
91764fa15a6613b127835bee2b51cac099c6056ddiff,"public void addAttachment(String filename, String mimeType, String contentId, byte[] content)","public void addAttachment(String filename, String mimeType, String contentId, boolean inline, byte[] content)"
08041b33805f0fedff3aa1a963f389a64795d64adiff,"protected SSLSocket createSSLSocket(String host, int port, int connectionTimeout)","protected SSLSocket createSSLSocket(String host, int port, int connectionTimeout, boolean trustAll)"
08041b33805f0fedff3aa1a963f389a64795d64adiff,protected SocketFactory getSSLSocketFactory(ProxyInfo proxy),"protected SocketFactory getSSLSocketFactory(ProxyInfo proxy, boolean trustAllCertificates)"
aacdbe3f90a0a65a0ccfbc55e9ee90c25d565149diff,"protected Socket createSocket(String host, int port)","protected Socket createSocket(String host, int port, int connectionTimeout)"
aacdbe3f90a0a65a0ccfbc55e9ee90c25d565149diff,"protected SSLSocket createSSLSocket(String host, int port)","protected SSLSocket createSSLSocket(String host, int port, int connectionTimeout)"
3c60146bd351094b152c895d4848d24a1eed5feddiff,"static void info(MethodVisitor mv, MethodInfo methodInfo)","static void info(MethodVisitor mv, MethodInfo methodInfo, int argsOff)"
53fe9398276eab8fb8addf5be5e4aeddec5be39ediff,public ReceivedEmail parse(),protected ReceivedEmail parse(InputStream emlContentInputStream)
6d8162561b11b054ccef33a603155e8c564bd894diff,static ReceivedEmail parseEML(String emlContent),"static ReceivedEmail parseEML(String emlContent, String charset)"
6bd40994f3cc98e8be228f552209fbdde1f2e5bcdiff,"public void extract(final Map target, final String[] profiles, final String[] wildcardPatterns)","public Map extract(Map target, final String[] profiles, final String[] wildcardPatterns, String prefix)"
520724161521f9fd7cc39a7ab01451a164e77402diff,"public void visitMethodInsn(int opcode, String string, String mname, String mdesc)","public void visitMethodInsn(int opcode, String string, String mname, String mdesc, boolean isInterface)"
bcfc9cc6e4c71878a4e8dd6a40c99c77ce6e0da3diff,"public void visitMethodInsn(int opcode, String owner, String name, String desc)","public void visitMethodInsn(int opcode, String owner, String name, String desc, boolean isInterface)"
bcfc9cc6e4c71878a4e8dd6a40c99c77ce6e0da3diff,"public void visitMethodInsn(int opcode, String owner, String name, String desc)","public void visitMethodInsn(int opcode, String owner, String name, String desc, boolean isInterface)"
bcfc9cc6e4c71878a4e8dd6a40c99c77ce6e0da3diff,"public void visitMethodInsn(int opcode, String owner, String name, String desc)","public void visitMethodInsn(int opcode, String owner, String name, String desc, boolean isInterface)"
bcfc9cc6e4c71878a4e8dd6a40c99c77ce6e0da3diff,"public void visitMethodInsn(int opcode, String owner, String name, String desc)","public void visitMethodInsn(int opcode, String owner, String name, String desc, boolean isInterface)"
bcfc9cc6e4c71878a4e8dd6a40c99c77ce6e0da3diff,"public void visitMethodInsn(int opcode, String owner, String name, String desc)","public void visitMethodInsn(int opcode, String owner, String name, String desc, boolean isInterface)"
01e340493d5de272c679b9397290eee1c69fdbc2diff,"static Class getComponentType(Type type, Class implClass)","static Class getComponentType(Type type, Class implClass, int index)"
ad8ea3cdc336540c7080c87d15397460ed2ed12cdiff,"public void startRegion(int start, int tagLen)","public void startRegion(int start, int tagLen, int deepLevel)"
cbda8a776b574536f95fc1915466f39944baa954diff,protected String parseStringContent(),protected String parseStringContent(final char quote)
ad0caafbcdbc7447aa9f5752754bb8b517ae429cdiff,"public boolean matchIgnoredPropertyTypes(Class propertyType, boolean include)","public boolean matchIgnoredPropertyTypes(Class propertyType, boolean excludeMaps, boolean include)"
b6c90fec102e5c8cdfd820eaf5773d189185a410diff,"protected void onSerializableProperty(String propertyName, Object value)","protected void onSerializableProperty(String propertyName, Class propertyType, Object value)"
b6c90fec102e5c8cdfd820eaf5773d189185a410diff,"protected void onSerializableProperty(String propertyName, Object value)","protected void onSerializableProperty(String propertyName, Class propertyType, Object value)"
b6c90fec102e5c8cdfd820eaf5773d189185a410diff,"protected void onSerializableProperty(String propertyName, Object value)","protected void onSerializableProperty(String propertyName, Class propertyType, Object value)"
5106f0e2e7a534764898fa125b03cec63df66ff5diff,"protected void onSerializableProperty(String propertyName, Object value)","protected void onSerializableProperty(String propertyName, Class propertyType, Object value)"
fa8afc73b67544b55bc402d02f3a18eb2826f653diff,public void resolveMacros(String[] activeProfiles),"public String resolveMacros(String value, final String... profiles)"
fa8afc73b67544b55bc402d02f3a18eb2826f653diff,"protected void extractMap(final Map target, final Map<String, PropsEntry> map, final String[] wildcardPatterns)","protected void extractMap(final Map target, final Map<String, PropsEntry> map, final String[] profiles, final String[] wildcardPatterns)"
1033fa636ec37df439fab6a55c36b6772e87813fdiff,"protected boolean onProperty(String propertyName, Class propertyType, PropertyDescriptor pd)","protected boolean onProperty(String propertyName, Class propertyType, PropertyDescriptor pd, boolean isTransient)"
2caf1b9a1f944db1ee41f1d039b87d245b950381diff,"protected boolean onProperty(String propertyName, Class propertyType)","protected boolean onProperty(String propertyName, Class propertyType, PropertyDescriptor pd)"
0ba17cfca51c5fc7fc4b5e9867b9cbc96ea15afbdiff,protected Number parseNumber(),protected Number parseNumber(Class targetType)
641ff92c16b56019c7fa0cfb3e4006e6e0986542diff,"protected Object parseValue(Class targetType, Class componentType)","protected Object parseValue(Class targetType, Class keyType, Class componentType)"
641ff92c16b56019c7fa0cfb3e4006e6e0986542diff,"protected Object parseObjectContent(Class targetType, Class valueType)","protected Object parseObjectContent(Class targetType, Class valueKeyType, Class valueType)"
dcdd8f4777a47cb312811a2f28497646c4b6703bdiff,"public void map2bean(Map map, Object target)","public void map2bean(Map map, Object target, String classMetadataName)"
baf8214d65010523ddbd127fbee7e424e68299d0diff,protected Object parseObjectContent(Class targetType),"protected Object parseObjectContent(Class targetType, Class valueType)"
a03c5962737923f43145e72e7a987c45a71f2946diff,protected void syntaxError(),protected void syntaxError(String message)
7f7ee7a05f24b2b58028856ec3b7d846db54da92diff,protected ScopeData[] inspectScopeData(Object key),"public ScopeData[] resolveScopeData(String name, Class type, Annotation[] annotations)"
f794a58564662a69183aec53563b4e830afd073ediff,protected Object[] makeTargets(),protected Target[] makeTargets(Object[] params)
bd9789a75d5861691e24254d73df350d5e233454diff,"protected ActionDef createActionDef(String path, String httpMethod, ActionNames actionNames)","protected ActionDef createActionDef(String path, String httpMethod, String resultBasePath, ActionNames actionNames)"
dabc5e0c8af6e5c639f298ea2f2afd8b9534694adiff,protected String readMethodExtension(ActionAnnotationData annotationData),"protected void readMethodExtension(ActionNames actionNames, ActionAnnotationData annotationData)"
dabc5e0c8af6e5c639f298ea2f2afd8b9534694adiff,private String readMethodHttpMethod(ActionAnnotationData annotationData),"private void readMethodHttpMethod(ActionNames actionNames, ActionAnnotationData annotationData)"
ba8665538f8898c97f519dc1fcb583a9e1685635diff,public void xml(Tag tag),"public void xml(CharSequence version, CharSequence encoding, CharSequence standalone)"
ba8665538f8898c97f519dc1fcb583a9e1685635diff,public void xml(Tag tag),"public void xml(CharSequence version, CharSequence encoding, CharSequence standalone)"
ba8665538f8898c97f519dc1fcb583a9e1685635diff,public void xml(Tag tag),"public void xml(CharSequence version, CharSequence encoding, CharSequence standalone)"
bc3127eb548be1b5dfc33835a5538de18d486789diff,private String[] parse(String content),"private String[] _parse(String content, boolean isXml)"
de71aeb69053b342e6138c6f1b71edaf59151a2adiff,public void hello(Hello hello),"public void hello(Hello hello, Data2 data)"
3e2d6593c2c3f05cf6123a2f100fdee4bb8bbfe8diff,"public void injectContext(Object target, C contextObject)","public void injectContext(Object target, ScopeData[] scopeData, C contextObject)"
3e2d6593c2c3f05cf6123a2f100fdee4bb8bbfe8diff,"public void injectContext(Object target, String baseName)","public void injectContext(Object target, ScopeData[] scopeData, String baseName)"
c8de7e3516d10415ca4be4b960fcebfd61ce7af0diff,protected ActionRequest createActionRequest(),protected ActionRequest createActionRequest(String actionPath)
a33397d22044cf91177d36630b18a653633e130adiff,public void resolveMacros(),public void resolveMacros(String[] activeProfiles)
6c592615affe530137d1e3e8cef4f1cb810f4634diff,"protected void put(final Map<String, PropsValue> map, final String key, final String value, final boolean append)","protected void put(final String profile, final Map<String, PropsEntry> map, final String key, final String value, final boolean append)"
b69c285952cfd475b1c9086dd655c141333aead7diff,public void start(),public void start(LagartoParserContext parserContext)
bd687e7cbb5eb4bc6eedeb5bd7e1a19460804db9diff,public void start(),public void start(LagartoParserContext parserContext)
4a8b32cc120ba7093464b00276a9c14fc5f231ccdiff,public void start(),public void start(LagartoParserContext parserContext)
4dfd6c2466e028d35794e8dea0f83c38a6c73bc9diff,public void start(),public void start(LagartoParserContext parserContext)
4dfd6c2466e028d35794e8dea0f83c38a6c73bc9diff,public void start(),public void start(LagartoParserContext parserContext)
eb06b778a5910d7603062552d06decd3b9b552bddiff,"protected void _header(String name, String value)","protected void _header(String name, String value, boolean overwrite)"
aef21993d11e76c10ffd3e41a03e4be3891571a2diff,"protected void put(final Map<String, PropsValue> map, final String key, final String value)","protected void put(final Map<String, PropsValue> map, final String key, final String value, final boolean append)"
aef21993d11e76c10ffd3e41a03e4be3891571a2diff,"public void putProfileProperty(final String key, final String value, final String profile)","public void putProfileProperty(final String key, final String value, final String profile, final boolean append)"
aef21993d11e76c10ffd3e41a03e4be3891571a2diff,"protected void add(final String key, final String value)","protected void add(final String key, final String value, final boolean append)"
f74517b5d803e3a905f1c9227399297536eb09c0diff,protected void fixUnclosedTagsUpToMatchingParent(Node matchingParent),"protected void fixUnclosedTagsUpToMatchingParent(Tag tag, Node matchingParent)"
47ec583a73a21b25cf1ff3189aacae009e00e110diff,protected void initChildNodes(),protected void initChildNodes(Node newNode)
fc45700e78755211620f7681b5924331aa23e1d8diff,protected Document doParse(),protected Document doParse(LagartoParser lagartoParser)
f3169401cf54588afaa976389380618a5e04b46cdiff,protected String readClassActionPath(Class actionClass),"protected String readClassActionPath(Class actionClass, Map<String, String> replacementMap)"
f3169401cf54588afaa976389380618a5e04b46cdiff,"protected String readMethodActionPath(String methodName, ActionAnnotationData annotationData)","protected String readMethodActionPath(String methodName, ActionAnnotationData annotationData, Map<String, String> replacementMap)"
63e5edd1fe522c5e0c7a9b3699ed0b33d8ba3668diff,"static Class findClass(String className, File[] classPath)","static Class findClass(String className, File[] classPath, ClassLoader parent)"
38e45d973ede780b607c0933cc41195973d83201diff,"static Class getComponentType(Type type, int index)","static Class getComponentType(Type type, Class implClass, int index)"
953c6c7310d9bfd7d6eaddc566bb0ab2e4d2de8adiff,"protected boolean resolveMacros(final Map<String, PropsValue> map, final String profile)","protected boolean resolveMacros(final Map<String, PropsValue> map, final String profile, StringTemplateParser stringTemplateParser)"
379a00e21778d9e928e20f287d970a5be75b8213diff,"protected BeanDefinition registerPetiteBean(String name, Class type, Class<? extends Scope> scopeType, WiringMode wiringMode)","public BeanDefinition registerPetiteBean(String name, Class type, Class<? extends Scope> scopeType, WiringMode wiringMode, boolean define)"
7d7c328af6666173128a88291591905ca75d8e98diff,static String buildQuery(HttpParamsMap queryMap),"static String buildQuery(HttpParamsMap queryMap, String encoding)"
4b49c2ee9d52caa51595b1ced233ab7e3d4462b7diff,"public void wire(Object bean, WiringMode wiringMode)","public void wire(Object bean, WiringMode wiringMode, boolean init)"
7d634851383ed10061d3c6856948c248b6a42898diff,"protected void add(String section, String key, StringBuilder value)","protected void add(String section, String key, StringBuilder value, boolean trim)"
a3984fdd1bb47ef45accff6bf2c50df2d0424debdiff,"protected void extract(Properties properties, Map<String, PropsValue> map)","protected void extract(Map<String, String> target, Map<String, PropsValue> map)"
1cdbcaacd95e50ab483e1d71da7b51d07df487f1diff,protected void init(),protected LiveDatabaseTest init(boolean strictCompare)
6cce17398de00b0544d9a698f8da768cbb795f43diff,"static void unzip(File zipFile, File destDir)","static void unzip(File zipFile, File destDir, String... patterns)"
0c4133ec86047b8900a9e45880221b1042ba0e92diff,"public void condComment(CharSequence conditionalComment, boolean isStartingTag, boolean isDownlevelHidden)","public void condComment(CharSequence expression, boolean isStartingTag, boolean isHidden, CharSequence comment)"
d30d645294a362d6bfbf75f7b1ed949b33480d0adiff,"public void condComment(CharSequence conditionalComment, boolean isStartingTag, boolean isDownlevelHidden)","public void condComment(CharSequence expression, boolean isStartingTag, boolean isHidden, CharSequence comment)"
d30d645294a362d6bfbf75f7b1ed949b33480d0adiff,"public void condComment(CharSequence conditionalComment, boolean isStartingTag, boolean isDownlevelHidden)","public void condComment(CharSequence expression, boolean isStartingTag, boolean isHidden, CharSequence comment)"
d30d645294a362d6bfbf75f7b1ed949b33480d0adiff,"static void writeConditionalComment(Appendable appendable, CharSequence value, boolean isStartingTag, boolean downlevelHidden)","static void writeConditionalComment(Appendable appendable, CharSequence value, boolean isStartingTag, boolean downlevelHidden, CharSequence additionalComment)"
d30d645294a362d6bfbf75f7b1ed949b33480d0adiff,"public void condComment(CharSequence conditionalComment, boolean isStartingTag, boolean isDownlevelHidden)","public void condComment(CharSequence expression, boolean isStartingTag, boolean isHidden, CharSequence comment)"
f05cc8b6e92579ef9c8429bb61784a0ac648c570diff,"public void injectContext(Object target, HttpServletRequest servletRequest, HttpServletResponse servletResponse)","public void injectContext(Object target, HttpServletRequest servletRequest, HttpServletResponse servletResponse, boolean injectParams)"
f05cc8b6e92579ef9c8429bb61784a0ac648c570diff,"public void injectContext(Object target, ServletContext servletContext)","public void injectContext(Object target, ServletContext servletContext, boolean injectParams)"
6652da913728937743e4ab765b36b117eb0f7ecfdiff,"protected void createBundle(String actionPath, String bundleId, List<String>sources)","protected void createBundle(String contextPath, String actionPath, String bundleId, List<String>sources)"
fb3fca616c8837d4e623ce2dadcf9b752f969c78diff,"public boolean accept(LinkedList<Node> currentResults, Node node)","public boolean accept(LinkedList<Node> currentResults, Node node, int index)"
fb3fca616c8837d4e623ce2dadcf9b752f969c78diff,"public boolean match(LinkedList<Node> currentResults, Node node)","public boolean match(LinkedList<Node> currentResults, Node node, int index)"
fb3fca616c8837d4e623ce2dadcf9b752f969c78diff,"public boolean match(LinkedList<Node> currentResults, Node node)","public boolean match(LinkedList<Node> currentResults, Node node, int index)"
fb3fca616c8837d4e623ce2dadcf9b752f969c78diff,"public boolean match(LinkedList<Node> currentResults, Node node)","public boolean match(LinkedList<Node> currentResults, Node node, int index)"
dfb4e298b748f0e4f59b6d456aa9fc8cd175c488diff,static Class loadClass(String className),"static Class loadClass(String className, ClassLoader classLoader)"
4123663bfecdb9ea2bde59fe0d6da7a5dc2d8f91diff,"public void addAttachment(String filename, byte[] content)","public void addAttachment(String filename, String mimeType, String contentId, byte[] content)"
681844092b069e3cb5cd12dba4e223776c7e992fdiff,"protected String buildActionPath(String packageActionPath, String classActionPath, String methodActionPath, String extension)","protected String buildActionPath(String packageActionPath, String classActionPath, String methodActionPath, String extension, String httpMethod)"
349730e5ba2ec69b65f13cb9fdf796dc7e494d53diff,protected String[][] methodDefaultReferences(Method method),"protected String[][] methodOrCtorDefaultReferences(AccessibleObject accobj, Class[] paramTypes)"
da96b2251626d6690ff9f7dd90d743924566e0a6diff,static String resolveBeanName(Class type),"static String resolveBeanName(Class type, boolean useLongTypeName)"
dd42d65bd967e2ca1eb83b1d1ac1e581509cd48bdiff,"static String doNormalize(String filename, boolean keepSeparator)","static String doNormalize(String filename, char separator, boolean keepSeparator)"
734162b501916d741bcfd03b7184c99cb38211f2diff,public DbSession beginTransaction(JtxTransactionMode jtxMode),"public DbSession beginTransaction(JtxTransactionMode jtxMode, boolean active)"
48fcc29d37bfedfb5689be3e603852716d0cebc8diff,"public void array(String foo, Integer[] ints)","public void array(String foo, Integer[] ints, float[] floats)"
e75767b732dff0afcabcc2696c7917716d4ba713diff,protected String readMethodActionPath(Method actionMethod),"protected String readMethodActionPath(String methodName, ActionAnnotationData annotationData)"
01f667119b655b7ef83cef3f8297de1ad2f0820bdiff,"static boolean addFileToZip(ZipOutputStream zos, File file, String relativeName)","static void addFileToZip(ZipOutputStream zos, String fileName, String relativeName, String comment)"
c101b06cd063a4a692ebfd016a31050802b78a70diff,private boolean isConnectionValid(ConnectionData connectionData),"private boolean isConnectionValid(ConnectionData connectionData, long now)"
d7d3d5873666905729653dbab40bfffa051102badiff,"static void storeAuthCookie(HttpServletResponse response, String... values)","static void storeAuthCookie(HttpServletResponse response, int cookieMaxAge, String... values)"
80fdbf1e42453cb92a6c0cea7be9f11261dcbd91diff,"protected void iterateCollection(Collection collection, int from, PageContext pageContext)","protected void iterateCollection(Collection collection, int from, int count, PageContext pageContext)"
80fdbf1e42453cb92a6c0cea7be9f11261dcbd91diff,"protected void iterateArray(Object[] array, int from, PageContext pageContext)","protected void iterateArray(Object[] array, int from, int count, PageContext pageContext)"
c59c74435f8e926219b90bf78ef55b7ec7abbbb1diff,"static String resolveTableName(Class<?> type, String tableNamePrefix, String tableNameSuffix)","static String resolveTableName(Class<?> type, String tableNamePrefix, String tableNameSuffix, boolean toUpperCase)"
c59c74435f8e926219b90bf78ef55b7ec7abbbb1diff,"static DbEntityColumnDescriptor resolveColumnDescriptors(DbEntityDescriptor ded, Field field, boolean isAnnotated)","static DbEntityColumnDescriptor resolveColumnDescriptors(DbEntityDescriptor ded, Field field, boolean isAnnotated, boolean toUpperCase)"
c59c74435f8e926219b90bf78ef55b7ec7abbbb1diff,"static String convertClassNameToTableName(String className, String tablePrefix, String tableSuffix)","static String convertClassNameToTableName(String className, String tablePrefix, String tableSuffix, boolean toUpperCase)"
c59c74435f8e926219b90bf78ef55b7ec7abbbb1diff,static String convertPropertyNameToColumnName(String propertyName),"static String convertPropertyNameToColumnName(String propertyName, boolean toUpperCase)"
6ae23a140a5365e50663ae8ab5e4d8226f50dea9diff,public void outject(Object target),"public void outject(Object target, HttpServletResponse servletResponse)"
f1272756becb4c9b43888028fffd9d5d5fe85959diff,"public void addAttachment(String fileName, DataHandler dataHandler)","public Email addAttachment(String fileName, DataHandler dataHandler, String contentId)"
398a0237aebfce3e5ed4e7e0290ac8d9b3354da8diff,"static String convertTableNameToClassName(String tableName, String tablePrefix)","static String convertTableNameToClassName(String tableName, String tablePrefix, String tableSuffix)"
aeab3d57103793b4f535cbad158f8826eb5207f6diff,"public void setObject(int index, Object value, Class<? extends SqlType> sqlTypeClass)","public void setObject(int index, Object value, Class<? extends SqlType> sqlTypeClass, int dbSqlType)"
aeab3d57103793b4f535cbad158f8826eb5207f6diff,"public void setObject(String param, Object value, Class<? extends SqlType> sqlTypeClass)","public void setObject(String param, Object value, Class<? extends SqlType> sqlTypeClass, int dbSqlType)"
aeab3d57103793b4f535cbad158f8826eb5207f6diff,"public void set(PreparedStatement st, int index, BigDecimal value)","public void set(PreparedStatement st, int index, BigDecimal value, int dbSqlType)"
aeab3d57103793b4f535cbad158f8826eb5207f6diff,"public void set(PreparedStatement st, int index, BigInteger value)","public void set(PreparedStatement st, int index, BigInteger value, int dbSqlType)"
aeab3d57103793b4f535cbad158f8826eb5207f6diff,"public void set(PreparedStatement st, int index, Blob value)","public void set(PreparedStatement st, int index, Blob value, int dbSqlType)"
aeab3d57103793b4f535cbad158f8826eb5207f6diff,"public void set(PreparedStatement st, int index, Boolean value)","public void set(PreparedStatement st, int index, Boolean value, int dbSqlType)"
aeab3d57103793b4f535cbad158f8826eb5207f6diff,"public void set(PreparedStatement st, int index, byte[] value)","public void set(PreparedStatement st, int index, byte[] value, int dbSqlType)"
aeab3d57103793b4f535cbad158f8826eb5207f6diff,"public void set(PreparedStatement st, int index, Byte value)","public void set(PreparedStatement st, int index, Byte value, int dbSqlType)"
aeab3d57103793b4f535cbad158f8826eb5207f6diff,"public void set(PreparedStatement st, int index, Clob value)","public void set(PreparedStatement st, int index, Clob value, int dbSqlType)"
aeab3d57103793b4f535cbad158f8826eb5207f6diff,"public void set(PreparedStatement st, int index, Date value)","public void set(PreparedStatement st, int index, Date value, int dbSqlType)"
aeab3d57103793b4f535cbad158f8826eb5207f6diff,"public void set(PreparedStatement st, int index, Double value)","public void set(PreparedStatement st, int index, Double value, int dbSqlType)"
